SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
崙背,雲林縣,31,,良好,1.6,0.1,0.1,27,23,23,12,2.4,4.6,2.2,1.3,194,2018-07-05 15:00,10,22,23.757547,120.348742
富貴角,新北市,42,,良好,1.4,0.11,0.1,27,25,15,10,5.1,6.1,1,0,238,2018-07-05 15:00,13,24,25.298562,121.536763
麥寮,雲林縣,38,,良好,1.7,0.18,0.2,26,23,42,11,5.3,8.8,3.5,3.8,213,2018-07-05 15:00,11,41,23.753506,120.251825
關山,臺東縣,75,細懸浮微粒,普通,3,-,,30,24,60,,5.4,6.9,1.5,1.7,343,2018-07-05 15:00,25,49,23.045083,121.161933
馬公,澎湖縣,31,,良好,8.2,0.16,0.2,24,23,33,11,7.7,12,4.8,3.8,151,2018-07-05 15:00,10,30,23.569031,119.566158
金門,金門縣,39,,良好,2.2,0.08,0.1,40,31,41,14,3.4,4.6,1.2,6.8,194,2018-07-05 15:00,12,34,24.432133,118.312256
馬祖,連江縣,58,細懸浮微粒,普通,2.9,0.07,0.1,49,38,59,21,3.4,4.8,1.4,6.3,182,2018-07-05 15:00,18,58,26.160469,119.949875
埔里,南投縣,42,,良好,,0.18,0.3,,15,,,7.3,10,3.1,1.2,351,2018-07-05 15:00,13,21,23.968842,120.967903
復興,高雄市,18,,良好,2.3,0.38,0.6,21,14,20,4,15,18,3.8,0.5,128,2018-07-05 15:00,4,19,22.608711,120.312017
永和,新北市,39,,良好,3.2,0.53,0.8,17,14,28,13,20,36,16,3.3,254,2018-07-05 15:00,12,33,25.017,121.516306
竹山,南投縣,23,,良好,1.7,0.1,0.2,23,19,34,7,1.7,2.5,0.8,1.9,219,2018-07-05 15:00,4,25,23.756389,120.677306
中壢,桃園市,38,,良好,3,0.72,0.9,14,11,45,9,19,46,27,2.8,176,2018-07-05 15:00,8,41,24.953278,121.221667
三重,新北市,52,懸浮微粒,普通,3.1,1.2,1.4,-,,57,10,28,97,69,,,2018-07-05 15:00,11,57,25.072611,121.493806
冬山,宜蘭縣,48,,良好,3.4,0.29,0.5,28,18,33,2,13,17,3.9,1.8,1.6,2018-07-05 15:00,15,40,24.632203,121.792928
宜蘭,宜蘭縣,26,,良好,2.2,0.23,0.3,35,26,30,6,8.8,9.8,1,1,261,2018-07-05 15:00,6,28,24.747917,121.746394
陽明,臺北市,22,,良好,1.4,0.09,0.1,25,24,11,5,0.9,1.2,0.3,,,2018-07-05 15:00,6,11,25.182722,121.529583
花蓮,花蓮縣,31,,良好,6,0.33,0.3,19,22,48,11,18,24,5.8,1.4,170,2018-07-05 15:00,6,33,23.971306,121.599769
臺東,臺東縣,36,,良好,1.9,0.31,0.4,27,28,30,10,6.2,8.4,2.2,1.7,52,2018-07-05 15:00,11,36,22.755358,121.15045
恆春,屏東縣,24,,良好,0.4,0.1,0.1,29,26,15,7,1.7,2,0.3,3.2,320,2018-07-05 15:00,6,21,21.958069,120.788928
潮州,屏東縣,22,,良好,1.1,0.15,0.1,29,24,22,8,5.7,6.5,0.8,1.5,300,2018-07-05 15:00,6,21,22.523108,120.561175
屏東,屏東縣,17,,良好,,,0.4,22,18,16,4,,,,0.6,267,2018-07-05 15:00,3,18,22.673081,120.488033
小港,高雄市,20,,良好,2.7,0.32,0.3,20,13,20,9,20,31,11,0.9,136,2018-07-05 15:00,6,20,22.565833,120.337736
前鎮,高雄市,,,設備維護,,,,,,16,13,,,,,,2018-07-05 15:00,,,22.605386,120.307564
前金,高雄市,28,,良好,1.9,0.29,0.5,21,15,25,5,14,17,3.4,1,248,2018-07-05 15:00,9,28,22.632567,120.288086
左營,高雄市,24,,良好,0.2,0.33,0.4,18,12,23,ND,14,19,5.6,2.2,163,2018-07-05 15:00,7,25,22.674861,120.292917
楠梓,高雄市,22,,良好,2,0.26,0.2,19,15,26,12,14,21,7,1.6,157,2018-07-05 15:00,5,24,22.733667,120.328289
林園,高雄市,20,,良好,3.6,0.29,0.3,30,22,21,ND,8.8,11,1.7,2.4,326,2018-07-05 15:00,6,18,22.4795,120.41175
大寮,高雄市,27,,良好,3.2,0.21,0.3,22,17,21,11,11,15,4.2,0.9,289,2018-07-05 15:00,8,22,22.565747,120.425081
鳳山,高雄市,17,,良好,2.8,0.38,0.4,23,18,12,5,10,13,2.3,0.9,92,2018-07-05 15:00,4,13,22.627392,120.358083
仁武,高雄市,22,,良好,2.7,0.21,0.2,23,19,36,ND,11,15,4.6,1.8,163,2018-07-05 15:00,7,24,22.689056,120.332631
橋頭,高雄市,17,,良好,2.6,0.2,0.2,20,16,13,ND,11,14,3.5,2.4,141,2018-07-05 15:00,1,18,22.757506,120.305689
美濃,高雄市,15,,良好,,,0.1,22,15,13,5,,,,2.6,144,2018-07-05 15:00,3,16,22.883583,120.530542
臺南,臺南市,27,,良好,1.2,0.19,0.3,24,18,25,4,5.7,9.1,3.4,2.9,172,2018-07-05 15:00,8,19,22.984581,120.202617
安南,臺南市,35,,良好,2,0.21,0.3,29,19,34,5,9.3,14,4.5,4.3,142,2018-07-05 15:00,11,32,23.048197,120.2175
善化,臺南市,21,,良好,1.6,0.08,0.1,19,17,19,7,4.1,7.5,3.4,2.6,136,2018-07-05 15:00,6,23,23.115097,120.297142
新營,臺南市,31,,良好,1.6,0.19,0.2,23,18,14,7,2.7,3.8,1.1,1.7,180,2018-07-05 15:00,10,22,23.305633,120.31725
嘉義,嘉義市,28,,良好,2.2,0.11,0.1,24,21,27,10,4,7.7,3.7,2.3,221,2018-07-05 15:00,6,30,23.462778,120.440833
臺西,雲林縣,33,,良好,1.7,0.1,0.1,28,24,21,10,2.5,3.9,1.5,3.6,189,2018-07-05 15:00,10,24,23.717533,120.202842
朴子,嘉義縣,28,,良好,1.5,0.22,0.2,28,23,31,5,6.4,9.2,2.8,3,173,2018-07-05 15:00,6,30,23.465308,120.24735
新港,嘉義縣,37,,良好,,,0.2,,21,,,,,,2.8,155,2018-07-05 15:00,12,24,23.554839,120.345531
斗六,雲林縣,37,,良好,0.8,0.19,0.3,24,23,29,11,5.5,7,1.6,1.9,217,2018-07-05 15:00,11,31,23.711853,120.544994
南投,南投縣,25,,良好,0.3,0.16,0.3,22,18,18,6,5.5,6.3,0.9,2.6,242,2018-07-05 15:00,8,18,23.913,120.685306
二林,彰化縣,35,,良好,1.3,0.07,0.1,28,25,14,13,1.8,2.4,0.6,3.5,201,2018-07-05 15:00,11,21,23.925175,120.409653
線西,彰化縣,26,,良好,1.6,0.13,0.2,27,24,18,ND,6.3,9,2.7,3.5,201,2018-07-05 15:00,8,23,24.131672,120.469061
彰化,彰化縣,23,,良好,2.3,0.23,0.2,27,21,31,13,6.9,7.3,0.4,4.7,188,2018-07-05 15:00,7,25,24.066,120.541519
西屯,臺中市,29,,良好,2.9,0.44,0.3,13,18,26,17,28,40,12,0.9,161,2018-07-05 15:00,9,25,24.162197,120.616917
忠明,臺中市,29,,良好,0.6,0.73,0.4,14,20,23,13,28,38,10,1.4,109,2018-07-05 15:00,9,22,24.151958,120.641092
大里,臺中市,34,,良好,4.1,0.62,0.4,12,20,48,9,33,46,13,1.3,194,2018-07-05 15:00,8,37,24.099611,120.677689
沙鹿,臺中市,28,,良好,2.9,0.26,0.3,25,21,22,12,14,17,2.7,2.6,154,2018-07-05 15:00,9,19,24.225628,120.568794
豐原,臺中市,34,,良好,2.5,0.15,0.2,25,23,11,12,5.5,6.7,1.2,2.2,140,2018-07-05 15:00,11,14,24.256586,120.741711
三義,苗栗縣,22,,良好,3.2,0.09,0.1,27,24,14,4,1.9,2.6,0.7,5.2,174,2018-07-05 15:00,6,17,24.382942,120.758833
苗栗,苗栗縣,43,,良好,0.7,0.2,0.2,19,19,14,14,6.5,8.4,1.9,4,190,2018-07-05 15:00,13,22,24.565269,120.8202
頭份,苗栗縣,22,,良好,4.2,0.17,0.2,17,21,20,2,13,19,6.1,4.3,223,2018-07-05 15:00,3,24,24.696969,120.898572
新竹,新竹市,24,,良好,1.9,0.22,0.2,19,19,24,9,,,,3.1,201,2018-07-05 15:00,7,21,24.805619,120.972075
竹東,新竹縣,35,,良好,1.4,0.1,0.1,23,21,18,13,1.4,2.4,1.1,2.7,206,2018-07-05 15:00,11,23,24.740644,121.088903
湖口,新竹縣,38,,良好,3.2,0.13,0.2,26,25,23,13,3.9,5.4,1.6,7.8,225,2018-07-05 15:00,12,27,24.900142,121.038653
龍潭,桃園市,31,,良好,1.8,0.12,0.2,27,25,25,13,4.3,5.7,1.4,6.9,251,2018-07-05 15:00,10,30,24.863869,121.21635
平鎮,桃園市,30,,良好,,,0.2,23,21,,,,,,4,231,2018-07-05 15:00,9,29,24.952786,121.203986
觀音,桃園市,46,,良好,2.2,0.15,0.2,29,24,37,10,3.6,3.7,0.1,7.6,233,2018-07-05 15:00,14,38,25.035503,121.082761
大園,桃園市,32,,良好,2.5,0.13,0.2,30,27,20,14,3.6,4.2,0.7,7.7,214,2018-07-05 15:00,10,28,25.060344,121.201811
桃園,桃園市,29,,良好,3.3,0.19,0.2,22,20,18,2,9.2,12,2.9,3.7,238,2018-07-05 15:00,9,28,24.994789,121.319964
大同,臺北市,46,,良好,3.1,1.5,1.4,-,,49,13,24,68,43,,,2018-07-05 15:00,11,50,25.0632,121.513311
松山,臺北市,38,,良好,2.7,0.45,0.5,13,12,36,15,23,43,20,3.5,216,2018-07-05 15:00,12,30,25.05,121.578611
古亭,臺北市,39,,良好,2.6,0.27,0.4,18,15,34,10,19,28,9.5,3.9,216,2018-07-05 15:00,12,32,25.020608,121.529556
萬華,臺北市,31,,良好,1.9,0.35,0.4,19,15,29,12,15,19,4.5,2.4,256,2018-07-05 15:00,9,30,25.046503,121.507972
中山,臺北市,47,,良好,3.2,0.75,1.0,11,9,44,13,23,46,23,2.7,284,2018-07-05 15:00,14,38,25.062361,121.526528
士林,臺北市,25,,良好,1.1,0.18,0.2,20,18,23,6,11,15,3.6,2.1,260,2018-07-05 15:00,8,24,25.105417,121.515389
淡水,新北市,31,,良好,1.4,0.12,0.1,23,20,23,6,5.3,6,0.7,,,2018-07-05 15:00,10,29,25.1645,121.449239
林口,新北市,31,,良好,2.7,0.14,0.1,25,24,31,8,8.6,11,2.5,7.8,251,2018-07-05 15:00,10,27,25.077197,121.376869
菜寮,新北市,41,,良好,2.3,0.25,0.3,18,14,30,10,10,16,5.4,3.6,244,2018-07-05 15:00,13,29,25.06895,121.481028
新莊,新北市,27,,良好,2.2,0.2,0.2,26,22,26,3,7.7,13,4.8,5.6,244,2018-07-05 15:00,8,27,25.037972,121.4325
板橋,新北市,32,,良好,2.3,0.19,0.3,23,19,37,7,10,12,2.1,6.1,252,2018-07-05 15:00,7,35,25.012972,121.458667
土城,新北市,36,,良好,2.5,0.19,0.2,24,20,39,10,12,14,2.6,4.3,206,2018-07-05 15:00,11,30,24.982528,121.451861
新店,新北市,31,,良好,1.9,0.17,0.3,25,20,20,9,8.1,11,3.4,2.1,257,2018-07-05 15:00,9,23,24.977222,121.537778
萬里,新北市,33,,良好,2.2,0.1,0.1,28,26,21,8,3.7,5,1.4,8.3,220,2018-07-05 15:00,10,25,25.179667,121.689881
汐止,新北市,30,,良好,3,0.28,0.4,22,18,34,8,17,22,5.5,2.1,224,2018-07-05 15:00,6,32,25.067131,121.6423
基隆,基隆市,25,,良好,2.8,0.23,0.3,22,20,26,11,14,17,2.4,1.1,132,2018-07-05 15:00,8,21,25.129167,121.760056
